lembaga,kelompok_koordinator,npsn,nama_pt,nm_bp,provinsi_pt,jln,kec_pt,Kabupaten/Kota,website,no_tel,email
Kementerian Dalam Negeri,PTK,344036  ,Akademi Keperawatan Pemprov Jawa Tengah,Akademi,Prop. Jawa Tengah             , Jalan Pakuwojo Po.Box. 04/104 Wonosobo,Kec. Wonosobo                 ,Kab. Wonosobo                 , www.akperpemprov.jatengprov.go.id, 0286 - 324313, akperjateng@gmail.com
Kementerian Dalam Negeri,PTK,344039  ,Akademi Kebidanan Pemkab Kendal,Akademi,Prop. Jawa Tengah             , ,,Kab. Kendal,,,
Kementerian Dalam Negeri,PTK,344037  ,Akademi Keperawatan Pemkot Tegal,Akademi,Prop. Jawa Tengah             , Jl. Dewi Sartika No. 1 Debong Kulon RT 01 / RW 01 Kec. Tegal Selatan Kota Tegal,,Kota Tegal                    ,www.akperpemkottegal.ac.id,(0283) 323524,akper.pemda@yahoo.co.id
Kementerian Dalam Negeri,PTK,344044  ,Akademi Keperawatan Pemkab Gresik,Akademi,Prop. Jawa Timur              , Jl. Dr. Wahidin Sudirohusodo No. 243A,,Kab. Gresik                   ,www.akperpemkabgresik.ac.id,031-3951252,akper_pemkabgresik@yahoo.com
Kementerian Dalam Negeri,PTK,344046  ,Akademi Keperawatan Pemkot Pasuruan,Akademi,Prop. Jawa Timur              ,"Kampus 1 : Jl. Mangga No. 7 Pasuruan
Kampus 2 : Jl. KH. Mansyur No.207 Pasuruan",,Kota Pasuruan                 ,Akperpemkotpasuruan.ac.id,0343-426730,akperpas@gmail.com
Kementerian Dalam Negeri,PTK,344040  ,Akademi Keperawatan Pemkab Ponorogo,Akademi,Prop. Jawa Timur              , Jl. Dr. Ciptomangunkusumo No. 82 A ,,Kab. Ponorogo                 ,akperponorogo.ac.id,0352 461792,office@akperponorogo.ac.id
Kementerian Dalam Negeri,PTK,344043  ,Akademi Keperawatan Pemkab Lamongan,Akademi,Prop. Jawa Timur              , Jalan Kusuma Bangsa No 7A,,Kab. Lamongan                 ,www.akperkablamongn.ac.id,(0322) 324352,akperlamongan@yahoo.com
Kementerian Dalam Negeri,PTK,344047  ,Akademi Keperawatan Dr. Soedono Madiun Prov. Jawa Timur,Akademi,Prop. Jawa Timur              , Jl.Imam Bonjol No.1 Madiun,,Kota Madiun                   ,http://www.akpermadiun.ac.id,0351-463310,akpermadiun@gmail.com
Kementerian Dalam Negeri,PTK,344049  ,Akademi Gizi Surabaya,Akademi,Prop. Jawa Timur              , Jl. Bendul Merisi 126 Surabaya,,Kota Surabaya                 ,akademigizisurabaya.ac.id,"0318431872, 03184995",akademigizisurabaya@gmail.com
Kementerian Dalam Negeri,PTK,344045  ,Akademi Keperawatan Pemkab Pamekasan,Akademi,Prop. Jawa Timur              , Jl. Jokotole Indah (Belakang SMAN 2) Pamekasan,,Kab. Pamekasan                ,www.akperpamekasan.ac.id,0324 321076,akperpmk@gmail.com
Kementerian Dalam Negeri,PTK,344041  ,Akademi Keperawatan Pemkab Trenggalek,Akademi,Prop. Jawa Timur              ,Jl. Dr. Soetomo No. 5 Trenggalek ,,Kab. Trenggalek               , http//akper-trenggalek.ac.id, (0355)791293, akper_ga@yahoo.com
Kementerian Dalam Negeri,PTK,344048  ,Akademi Kebidanan Pemkab Bojonegoro,Akademi,Prop. Jawa Timur              ,"Kampus 2 (Utama) 0353-5254077
Jl. Hos Cokroaminoto Desa Ngraseh - Dander Bojoneg",,Kab. Bojonegoro               ,www.akbidpemkabbojonegoro.ac.id,0353 5254077,akbidpemkab_bgoro@yahoo.co.id
Kementerian Dalam Negeri,PTK,344055  ,Akademi Keperawatan Pemkab Ketapang,Akademi,Prop. Kalimantan Barat        , Jl. Dr. Soetomo No. 65 Ketapang,Kec. Delta Pawan              ,Kab. Ketapang                 ,akperketapang.co.id,(0534)31179-34411,akperketapang@gmail.com
Kementerian Dalam Negeri,PTK,344054  ,Akademi Keperawatan Pemprov Kalbar di Sintang,Akademi,Prop. Kalimantan Barat        , ,,Kab. Sintang                  , , 056522995, akpersintang@gmail.com
Kementerian Dalam Negeri,PTK,344057  ,Akademi Keperawatan Murakata Barabai,Akademi,Prop. Kalimantan Selatan      , ,Kec. Barabai                  ,Kab. Hulu Sungai Tengah       , , 0517 41896, akpermurakata@gmail.com
Kementerian Dalam Negeri,PTK,344056  ,Akademi Keperawatan Pemkab Kapuas,Akademi,Prop. Kalimantan Tengah       ,Jl. Kapten Pierre Tendean no. 15 RT. 20 Kel. Selat Hilir,Kec. Selat                    ,Kab. Kapuas                   ,akperkapuas.ac.id,0513-21734,akper_kapuas@yahoo.com
Kementerian Dalam Negeri,PTK,344071  ,Akademi Keperawatan Pemkab Kotawaringin Timur Kalteng,Akademi,Prop. Kalimantan Tengah       , JALAN BATU BERLIAN NOMOR 11 SAMPIT,,Kab. Kotawaringin Timur       ,akperkotim,053122960,akper.kotim@yahoo.com
Kementerian Dalam Negeri,PTK,344058  ,Akademi Keperawatan Pemprov Kaltim,Akademi,Prop. Kalimantan Timur        , JL. ANGGUR NO 88 SAMARINDA,,Kota Samarinda                ,www.akper-pemprov-kaltim.ac.id,0541 748384,akperpemprovkaltim@yahoo.com
Kementerian Dalam Negeri,PTK,344051  ,Akademi Perawat Kesehatan Provinsi NTB,Akademi,Prop. Nusa Tenggara Barat     ," JL. SOEKARNO HATTA, SAKRA, LOMBOK TIMUR, NTB",,Kab. Lombok Timur             ,www.akperkesprovntb.ac.id,037622722,akperkesprovntb@yahoo.co.id
Kementerian Dalam Negeri,PTK,344053  ,Akademi Keperawatan Waikabubak Pemda Sumba Barat,Akademi,Prop. Nusa Tenggara Timur     ,"Jalan Adhyaksa Km.3 Waikabubak, Sumba Barat, Nusa Tenggara Timur",Kec. Kota Waikabubak          ,Kab. Sumba Barat              ,akperdiwaikabubak.blogspot.com,0387 21508,akper.sumbar@gmail.com
Kementerian Dalam Negeri,PTK,344021  ,Akademi Kesehatan Provinsi Riau,Akademi,Prop. Riau                    , Jl. M. Tahar No. 1 Pematang Reba - Riau,,Kab. Indragiri Hulu           ,akkesdinkesriau.ac.id,0769 - 341584,akkespemprovriau@gmail.com
Kementerian Dalam Negeri,PTK,344061  ,Akademi Keperawatan Anging Mammiri Pemprov Sulsel,Akademi,Prop. Sulawesi Selatan        , ,,Kota Makassar                 , , , 
Kementerian Dalam Negeri,PTK,344059  ,Akademi Keperawatan Pemkab Bulukumba,Akademi,Prop. Sulawesi Selatan        ,Jl.Kedondong Poros BTN 1 Kelurahan Loka Kecamatan Ujung Bulu ,,Kab. Bulukumba                ,www.akperbulukumba.ac.id,0413-82585,akperbulukumba@rocketmail.com
Kementerian Dalam Negeri,PTK,344060  ,Akademi Keperawatan Pemkab Wajo,Akademi,Prop. Sulawesi Selatan        , JL.Kartika Chandra Kirana No. 10 Sengkang,Kec. Tempe                    ,Kab. Wajo                     , ,( 0485) 323735,akperwajo@gmail.com
Kementerian Dalam Negeri,PTK,344068  ,Akademi Keperawatan Pemda Toli-Toli,Akademi,Prop. Sulawesi Tengah         , Jln. S parman no. 12,,Kab. Buol                     ,www.akpertolitoli.ac.id,045321673,akpertolitoli@gmail.com
Kementerian Dalam Negeri,PTK,344067  ,Akademi Keperawatan Luwuk,Akademi,Prop. Sulawesi Tengah         , Jl. S. Musi No. 15 Kec. Luwuk,,Kab. Banggai                  ,http://akper-luwuk.ac.id,0461-22248,akperlwk@yahoo.com
Kementerian Dalam Negeri,PTK,344066  ,Akademi Keperawatan Pemkab Donggala,Akademi,Prop. Sulawesi Tengah         , Jl. Bulu Masomba No. 02 Kawatuna,,Kota Palu                     ,www.akperdonggala.ac.id,0451 - 452563,fauzan.akprdgl@gmail.com
Kementerian Dalam Negeri,PTK,344065  ,Akademi Keperawatan Pemkab Konawe,Akademi,Prop. Sulawesi Tenggara       , ,,Kab. Konawe                   , www.akperkonawesultra.ac.id, 04082421459, akperunaahasultra@yahoo.co.id
Kementerian Dalam Negeri,PTK,344062  ,Akademi Keperawatan Pemkab Buton,Akademi,Prop. Sulawesi Tenggara       , JL.Wa Ode Wau No.65,,Kab. Buton                    ,www.akperbuton.ac.id,(0402)2822771,mail@akperbuton.ac.id
Kementerian Dalam Negeri,PTK,344063  ,Akademi Keperawatan Pemkab Kolaka,Akademi,Prop. Sulawesi Tenggara       , ,,Kab. Kolaka                   ,akper_kolaka.ac.id,(0405)2323791, akper_kolaka@yahoo.com
Kementerian Dalam Negeri,PTK,344064  ,Akademi Keperawatan Pemkab Muna,Akademi,Prop. Sulawesi Tenggara       ," Kampus Akper Pemkab Muna

Jln. Poros Raha-Tampo Km.6 Motewe Raha ",,Kab. Muna                     ,-,082393259704,akpermuna17@gmail.com
Kementerian Dalam Negeri,PTK,344025  ,Akademi Keperawatan Pemkab Musi Banyuasin,Akademi,Prop. Sumatera Selatan        , Jln. Kol. Wahid Udin lk I Kel. Kayuara Kec. Sekayu,,Kab. Musi Banyu Asin          ,http://akpermuba.ac.id,0714322519,akper.muba@yahoo.co.id
Kementerian Dalam Negeri,PTK,344027  ,Akademi Kesehatan Lingkungan Pemprov Sumatera Selatan,Akademi,Prop. Sumatera Selatan        , ,,Kota Palembang                , , 0711363941, 
Kementerian Dalam Negeri,PTK,344026  ,Akademi Kebidanan Pemkab Muara Enim,Akademi,Prop. Sumatera Selatan        , ,,Kab. Muara Enim               , akbid-muaraenim.ac.id, 0734421951, akbidmuaraenim@ymail.com
Kementerian Dalam Negeri,PTK,344024  ,Akademi Keperawatan Pemkab Lahat,Akademi,Prop. Sumatera Selatan        , ,,Kab. Lahat                    , www.akperpemkablahat.ac.id, (0731)324257, akperpemkablahat@gmail.com
Kementerian Dalam Negeri,PTK,344013  ,Akper Pemkot Tanjung Balai,Akademi,Prop. Sumatera Utara          , ,,Kota Tanjung Balai, , , 
Kementerian Dalam Negeri,PTK,344016  ,Akademi Kebidanan Pemkot Tebing Tinggi,Akademi,Prop. Sumatera Utara          , ,,Kota Tebing Tinggi            , akbidpemkotebingtinggi.ac.id,(0621) 22012, akbidpemkotebingtinggi@yahoo.com
Kementerian Dalam Negeri,PTK,344017  ,Akademi Keperawatan Gunungsitoli Pemerintah Kabupaten Nias,Akademi,Prop. Sumatera Utara          ,Jl. Iraonogeba  Kota Gunungsitoli,,Kab. Nias                     ,www.akpergunungsitoli.ac.id ,(0639) 7000285 ,upt.akper.gunungsitoli@gmail.comm
Kementerian Dalam Negeri,PTK,344010  ,Akademi Keperawatan Pemkab Labuhan Batu,Akademi,Prop. Sumatera Utara          , Jalan Dewi Sartika No. 100 Rantauprapat,,Kab. Labuhan Batu             ,akperlabuhanbatu.blogspot.com,0624 22173,akperpemkablabuhanbatu@ymail.com
Kementerian Dalam Negeri,PTK,344019  ,Akademi Keperawatan Pemkab Tapanuli Tengah,Akademi,Prop. Sumatera Utara          , ,,Kab. Tapanuli Tengah          , , ,akperpemkab_tapteng@yahoo.com
Kementerian Dalam Negeri,PTK,344014  ,Akademi Kebidanan Tarutung Pemkab Tapanuli Utara,Akademi,Prop. Sumatera Utara          , ,,Kab. Tapanuli Utara           , akbidtarutung.ac.id, 085296303030, akbid_tarutung@yahoo.com
Kementerian Dalam Negeri,PTK,344011  ,Akademi Keperawatan Pemkab Dairi,Akademi,Prop. Sumatera Utara          ," JL.SIDIKALANG MEDAN KM 4,5 

PANJI BAKO - SITINJO

SIDIKALANG",,Kab. Dairi                    ,www.akperdairi.go.id,--,dairi.akper@yahoo.com
Kementerian Dalam Negeri,PTK,344018  ,Akademi Keperawatan Pemkab Asahan Kisaran ,Akademi,Prop. Sumatera Utara          ,JL. LATSITARDA NUSANTARA VIII KISARAN,,Kab. Asahan                   ,-,062342269,akperpemkabasahan@yahoo.co.id
Kementerian Dalam Negeri,PTK,344015  ,Akademi Kebidanan Pemkab Karo Kabanjahe,Akademi,Prop. Sumatera Utara          , ,,Kab. Karo                     , , 0628.21387, akbidpemkabkaro@gmail.com
Kementerian Dalam Negeri,PTK,344012  ,Akademi Keperawatan Pemkab Langkat,Akademi,Prop. Sumatera Utara          ,JL.T.PUTRA AZIS NO.2 STABAT,,Kab. Langkat                  ,www.akperpemkablangkat.ac.id,061-8911906,akperlangkatkab@yahoo.co.id
Kementerian Dalam Negeri,PTK,342001  ,Institut Pemerintahan Dalam Negeri,Institut,Prop. Jawa Barat              ," Jl. Ir. Soekarno Km. 20 Sumedang, Jawa Barat",,Kab. Sumedang                 ,http: //www.ipdn.ac.id,0227798252,mail@ipdn.ac.id
Kementerian Energi dan Sumber Daya Mineral,PTK,355001  ,Politeknik Energi dan Mineral Akamigas,Politeknik,Prop. Jawa Tengah             ,"Jl. Gajah Mada No. 38 Cepu - 58315 Kab. Blora Jawa Tengah
",Kec. Cepu                     ,Kab. Blora                    ,,,
Kementerian Energi dan Sumber Daya Mineral,PTK,353001  ,Sekolah Tinggi Energi dan Mineral,Sekolah Tinggi,Prop. Jawa Tengah             , Jl. Gajah Mada No. 38 Cepu - 58315 Kab. Blora Jawa Tengah,Kec. Cepu                     ,Kab. Blora                    , www.akamigas.ac.id,(0296) 421897,pdpt.stem@esdm.go.id
Kementerian Hukum dan HAM,PTK,365002  ,Politeknik Imigrasi,Politeknik,Prop. Jawa Barat              ,,Kec. Limo                     ,Kota Depok                    ,www.politeknikimigrasi.ac.id,0217540121,info@politeknikimigrasi.ac.id
Kementerian Hukum dan HAM,PTK,365001  ,Politeknik Ilmu Pemasyarakatan,Politeknik,Prop. Jawa Barat              ,"Jl. Raya Gandul, Limo Depok",,Kota Depok                    ,www.poltekip.ac.id,0217545096,poltekip.bpsdm@gmail.com 
Kementerian Informasi dan Komunikasi,PTK,373001  ,"Sekolah Tinggi Multi Media ""MMTC"" Yogyakarta ",Sekolah Tinggi,Prop. D.I. Yogyakarta         , Jl. Magelang Km. 6 Yogyakarta,,Kota Yogyakarta               ,www.mmtc.ac.id,"(0274)562513, 561531",info@mmtc.ac.id
Kementerian Kelautan dan Perikanan,PTK,395004  ,Politeknik Kelautan dan Perikanan Karawang,Politeknik,Prop. Jawa Barat              ,,,Kab. Karawang                 ,poltekkpkarawang.ac.id,,panitera@poltekkpkarawang.ac.id
Kementerian Kelautan dan Perikanan,PTK,395003  ,Politeknik Kelautan dan Perikanan Sidoarjo,Politeknik,Prop. Jawa Timur              ,Jl. Raya Buncitan KP 1 Sedati Sidoarjo,,Kab. Sidoarjo                 ,www.apsidoarjo.ac.id,0318911380,aps@apsidoarjo.ac.id
Kementerian Kelautan dan Perikanan,PTK,395006  ,Politeknik Kelautan dan Perikanan Kupang,Politeknik,Prop. Nusa Tenggara Timur     ,,,Kota Kupang                   ,www.poltekkpkupang.kkp.go.id,(0380)8563066,politeknikkpkupang@kkp.go.id
Kementerian Kelautan dan Perikanan,PTK,395001  ,Politeknik Kelautan dan Perikanan Sorong,Politeknik,Prop. Papua Barat             ,Jl. Kapitan Pattimura Tanjung Kasuari Suprau Kotak Pos 118 Kota Sorong,,Kota Sorong                   ,www.apsorong.kkp.go.id,0951 3100182,apsorong@kkp.go.id
Kementerian Kelautan dan Perikanan,PTK,395005  ,Politeknik Kelautan dan Perikanan Bone,Politeknik,Prop. Sulawesi Selatan        ,Jl. Sungai Musi  Km. 9,Kec. Tanete Riattang          ,Kab. Bone                     ,www.poltekkpbone.ac.id,(0481)2920204,poltekkp.bone@gmail.com
Kementerian Kelautan dan Perikanan,PTK,395002  ,Politeknik Kelautan dan Perikanan Bitung,Politeknik,Prop. Sulawesi Utara          ,Jalan Tandurusa Kotak Pos 12/BTG,,Kota Bitung                   ,www.poltekkp-bitung.ac.id,0438 36434,"politeknikkp_bitung@yahoo,com"
Kementerian Kelautan dan Perikanan,PTK,393001  ,Sekolah Tinggi Perikanan,Sekolah Tinggi,Prop. D.K.I. Jakarta          , Jl. AUP No. 1 Pasar Minggu Jakarta,,Kota Jakarta Selatan          ,www.stp.kkp.go.id,021 7806874,akademik_baakstp@yahoo.co.id
Kementerian Kesehatan,PTK,405001  ,Poltekkes Kemenkes Aceh,Politeknik,Prop. Aceh                    ," Jalan Soekarno-Hatta Kampus Terpadu Poltekkes Aceh, Aceh Besar ",,Kab. Aceh Besar               ,www.poltekkesaceh.ac.id,0651-46128,poltekkes_aceh@yahoo.com
Kementerian Kesehatan,PTK,405018  ,Poltekkes Kemenkes Denpasar,Politeknik,Prop. Bali                    ," Jl. Sanitasi No. 1 Sidakarya, Denpasar, Bali",,Kota Denpasar                 ,www.poltekkes-denpasar.ac.id,0361-710447,info@poltekkes-denpasar.ac.id
Kementerian Kesehatan,PTK,405035  ,Poltekkes Kemenkes Pangkal Pinang,Politeknik,Prop. Bangka Belitung         ,Komplek Perkantoran dan Pemukiman Terpadu Pemprov Bangka Belitung Jalan Pulau Ba,Kec. Pangkalan Baru           ,Kab. Bangka Tengah            ,http://poltekkespangkalpinang.ac.id,0717 422014,poltekkespapinka@gmail.com
Kementerian Kesehatan,PTK,405033  ,Poltekkes Kemenkes Banten,Politeknik,Prop. Banten                  ," Jl. Syekh Nawawi Al-Bantani, Kelurahan Banjarsari, Kecamatan Cipocok Jaya",,Kota Serang                   ,poltekkesbanten.ac.id,0254-2577766,poltekkesbanten@gmail.com
Kementerian Kesehatan,PTK,405006  ,Poltekkes Kemenkes Bengkulu,Politeknik,Prop. Bengkulu                ,Jalan Indra Giri No. 3 Padang Harapan ,Kec. Gading Cempaka           ,Kota Bengkulu                 ,www.poltekkes-kemenkes-bengkulu.ac.id,0736341212,poltekkes26bengkulu@gmail.com
Kementerian Kesehatan,PTK,405015  ,Poltekkes Kemenkes Yogyakarta,Politeknik,Prop. D.I. Yogyakarta         ," Jl. Tatabumi No. 3 Banyuraden, Gamping, Sleman, DI.Yogyakarta",Kec. Gamping                  ,Kab. Sleman                   ,https://poltekkesjogja.ac.id,0274-617601,admin@poltekkesjogja.ac.id
Kementerian Kesehatan,PTK,405008  ,Poltekkes Kemenkes Jakarta I,Politeknik,Prop. D.K.I. Jakarta          ,Jl. Wijayakusuma Raya No. 47-48 Cilandak Barat ,,Kota Jakarta Selatan          ,poltekkesjakarta1.ac.id,021 75909605,poltekkes_jkt1@yahoo.co.id
Kementerian Kesehatan,PTK,405009  ,Poltekkes Kemenkes Jakarta II,Politeknik,Prop. D.K.I. Jakarta          , Jl.Hang Jebat III Blok F/3 Kelurahan Gunung Kecamatan Kebayoran Baru Jakarta Se,,Kota Jakarta Selatan          ,www.poltekkesjkt2.ac.id,021 - 7397641/739764,info@poltekkesjkt2.ac.id
Kementerian Kesehatan,PTK,405032  ,Poltekkes Kemenkes Gorontalo,Politeknik,Prop. Gorontalo               , ,,Kota Gorontalo, http://www.poltekkesgorontalo.ac.id/,0435827193 , poltek_gorontalo@yahoo.co.id
Kementerian Kesehatan,PTK,405005  ,Poltekkes Kemenkes Jambi,Politeknik,Prop. Jambi                   , JL. Haji Agus Salim Nomor 09 Kota Baru - Jambi,Kec. Kota Baru                ,Kota Jambi                    ,www.poltekkesjambi.ac.id,0741-445450,poltekk_jambi@yahoo.com
Kementerian Kesehatan,PTK,405010  ,Poltekkes Kemenkes Jakarta III,Politeknik,Prop. Jawa Barat              ,"Jalan Arteri JORR Jatiwarna, Kec. Pondok Melati, Bekasi",Kec. Pondok Melati            ,Kota Bekasi                   ,http://www.poltekkesjakarta3.ac.id,021 84978693,sekretariat@poltekkesjakarta3.ac.id
Kementerian Kesehatan,PTK,405012  ,Poltekkes Kemenkes Tasikmalaya,Politeknik,Prop. Jawa Barat              , Jl. Cilolohan No. 35 Tasikmalaya,,Kota Tasikmalaya              ,www.poltekkestasikmalaya.ac.id,0265 - 340186,poltekkestsm.adak@gmail.com
Kementerian Kesehatan,PTK,405011  ,Poltekkes Kemenkes Bandung,Politeknik,Prop. Jawa Barat              , Jl. Pajajaran No. 56,,Kota Bandung                  ,www.poltekkesbandung.ac.id,022-4231639,info@poltekkesbandung.ac.id
Kementerian Kesehatan,PTK,405013  ,Poltekkes Kemenkes Semarang,Politeknik,Prop. Jawa Tengah             , Jl. Tirto Agung Pedalangan Banyumanik Semarang,,Kota Semarang                 ,www.poltekkes-smg.ac.id,024 - 7460274,poltekkes-smg@poltekkes-smg.ac.id
Kementerian Kesehatan,PTK,405014  ,Poltekkes Kemenkes Surakarta,Politeknik,Prop. Jawa Tengah             ,Jl.  Letjend. Sutoyo Mojosongo Surakarta,,Kota Surakarta                ,poltekkes-solo.ac.id,(0271) 856929,polkessolo@gmail.com
